sample_id,source_id,source_type,sub_basin,river,sample_date,pH,EC_value,EC_unit,TDS_value,TDS_unit,SAR,SAR_unit
AQ-01-01,26-023,River monitoring station,Mehran,Roudbal,1967-01-28,8.1,370.0,µS/cm,233.0,mg/L,0.529,dimensionless
AQ-01-02,26-023,River monitoring station,Mehran,Roudbal,1970-01-27,8.1,351.0,µS/cm,231.0,mg/L,0.845,dimensionless
AQ-01-03,26-023,River monitoring station,Mehran,Roudbal,1973-01-23,7.3,435.0,µS/cm,280.0,mg/L,1.163,dimensionless
AQ-01-04,26-023,River monitoring station,Mehran,Roudbal,1976-09-18,7.6,435.0,µS/cm,275.0,mg/L,0.368,dimensionless
AQ-01-05,26-023,River monitoring station,Mehran,Roudbal,1987-07-06,8.2,428.0,µS/cm,282.0,mg/L,0.574,dimensionless
AQ-01-06,26-023,River monitoring station,Mehran,Roudbal,1990-08-06,8.0,396.0,µS/cm,240.0,mg/L,0.803,dimensionless
AQ-01-07,26-023,River monitoring station,Mehran,Roudbal,1994-01-21,7.9,357.0,µS/cm,228.0,mg/L,0.498,dimensionless
AQ-01-08,26-023,River monitoring station,Mehran,Roudbal,1997-05-05,7.7,382.0,µS/cm,276.0,mg/L,0.5,dimensionless
AQ-01-09,26-023,River monitoring station,Mehran,Roudbal,2000-11-25,8.2,499.0,µS/cm,324.0,mg/L,0.508,dimensionless
AQ-01-10,26-023,River monitoring station,Mehran,Roudbal,2006-08-03,8.1,392.0,µS/cm,343.0,mg/L,0.74,dimensionless
AQ-01-11,26-023,River monitoring station,Mehran,Roudbal,2009-07-12,7.57,580.0,µS/cm,419.0,mg/L,0.289,dimensionless
AQ-01-12,26-023,River monitoring station,Mehran,Roudbal,2013-01-20,7.7,428.0,µS/cm,316.0,mg/L,0.019,dimensionless
AQ-01-13,26-023,River monitoring station,Mehran,Roudbal,2016-08-03,8.26,566.0,µS/cm,354.0,mg/L,0.193,dimensionless
AQ-01-14,26-023,River monitoring station,Mehran,Roudbal,2018-11-23,7.66,540.0,µS/cm,358.0,mg/L,0.607,dimensionless
AQ-01-15,26-023,River monitoring station,Mehran,Roudbal,2020-12-19,8.4,488.0,µS/cm,316.0,mg/L,1.036,dimensionless
AQ-02-01,31-037,River monitoring station,Lake Urmia,Gmbrf chai,1967-03-19,9.5,140.0,µS/cm,67.0,mg/L,0.783,dimensionless
AQ-02-02,31-037,River monitoring station,Lake Urmia,Gmbrf chai,1970-10-15,7.3,368.0,µS/cm,242.0,mg/L,0.601,dimensionless
AQ-02-03,31-037,River monitoring station,Lake Urmia,Gmbrf chai,1974-02-11,7.4,255.0,µS/cm,165.0,mg/L,1.026,dimensionless
AQ-02-04,31-037,River monitoring station,Lake Urmia,Gmbrf chai,1980-04-12,7.6,535.0,µS/cm,335.0,mg/L,1.401,dimensionless
AQ-02-05,31-037,River monitoring station,Lake Urmia,Gmbrf chai,1984-05-24,7.4,660.0,µS/cm,440.0,mg/L,1.385,dimensionless
AQ-02-06,31-037,River monitoring station,Lake Urmia,Gmbrf chai,1987-09-29,7.3,340.0,µS/cm,220.0,mg/L,0.44,dimensionless
AQ-02-07,31-037,River monitoring station,Lake Urmia,Gmbrf chai,1992-10-01,7.0,400.0,µS/cm,240.0,mg/L,0.499,dimensionless
AQ-02-08,31-037,River monitoring station,Lake Urmia,Gmbrf chai,1998-04-20,7.57,735.0,µS/cm,478.0,mg/L,0.948,dimensionless
AQ-02-09,31-037,River monitoring station,Lake Urmia,Gmbrf chai,2001-10-22,8.2,492.0,µS/cm,301.0,mg/L,0.483,dimensionless
AQ-02-10,31-037,River monitoring station,Lake Urmia,Gmbrf chai,2004-03-04,8.4,190.0,µS/cm,134.0,mg/L,0.502,dimensionless
AQ-02-11,31-037,River monitoring station,Lake Urmia,Gmbrf chai,2008-06-06,7.4,1003.0,µS/cm,651.95,mg/L,0.577,dimensionless
AQ-02-12,31-037,River monitoring station,Lake Urmia,Gmbrf chai,2012-02-04,8.0,533.0,µS/cm,346.45,mg/L,0.718,dimensionless
AQ-02-13,31-037,River monitoring station,Lake Urmia,Gmbrf chai,2015-07-20,7.8,533.0,µS/cm,346.45,mg/L,0.687,dimensionless
