sample_id,EC_dS_m,FAO_salinity_EC_restriction,FAO_salinity_TDS_restriction,FAO_SAR_surface_toxicity,FAO_EC_SAR_infiltration_restriction,FAO_pH_status,dashboard_overall_status_en,dashboard_overall_status_fa,dashboard_color,Na_percent_source,Wilcox_Na_percent_class,USSL_EC_class,USSL_SAR_class,USSL_SAR_EC_code,TDS_EC_factor,TDS_EC_QC
AQ-01-01,0.37,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,17.09,Excellent,C2,S1,C2-S1,0.6297297297297297,Pass
AQ-01-02,0.351,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,27.08,Good,C2,S1,C2-S1,0.6581196581196581,Pass
AQ-01-03,0.435,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,32.56,Good,C2,S1,C2-S1,0.6436781609195402,Pass
AQ-01-04,0.435,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,12.74,Excellent,C2,S1,C2-S1,0.632183908045977,Pass
AQ-01-05,0.428,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,18.37,Excellent,C2,S1,C2-S1,0.6588785046728972,Pass
AQ-01-06,0.396,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,25.73,Good,C2,S1,C2-S1,0.6060606060606061,Pass
AQ-01-07,0.357,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,17.61,Excellent,C2,S1,C2-S1,0.6386554621848739,Pass
AQ-01-08,0.382,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,16.1,Excellent,C2,S1,C2-S1,0.7225130890052356,Pass
AQ-01-09,0.499,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,15.77,Excellent,C2,S1,C2-S1,0.6492985971943888,Pass
AQ-01-10,0.392,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,22.34,Good,C2,S1,C2-S1,0.875,Review
AQ-01-11,0.58,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,10.71,Excellent,C2,S1,C2-S1,0.7224137931034482,Pass
AQ-01-12,0.428,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,1.03,Excellent,C2,S1,C2-S1,0.7383177570093458,Pass
AQ-01-13,0.566,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,6.14,Excellent,C2,S1,C2-S1,0.6254416961130742,Pass
AQ-01-14,0.54,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,17.12,Excellent,C2,S1,C2-S1,0.662962962962963,Pass
AQ-01-15,0.488,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,28.57,Good,C2,S1,C2-S1,0.6475409836065574,Pass
AQ-02-01,0.14,None,None,None,Severe,Review,Caution,نیازمند احتیاط,yellow,30.44,Good,C1,S1,C1-S1,0.4785714285714286,Review
AQ-02-02,0.368,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,19.19,Excellent,C2,S1,C2-S1,0.657608695652174,Pass
AQ-02-03,0.255,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,34.48,Good,C2,S1,C2-S1,0.6470588235294118,Pass
AQ-02-04,0.535,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,35.29,Good,C2,S1,C2-S1,0.6261682242990654,Pass
AQ-02-05,0.66,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,31.34,Good,C2,S1,C2-S1,0.6666666666666666,Pass
AQ-02-06,0.34,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,15.66,Excellent,C2,S1,C2-S1,0.6470588235294118,Pass
AQ-02-07,0.4,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,16.05,Excellent,C2,S1,C2-S1,0.6,Pass
AQ-02-08,0.735,Slight-Moderate,Slight-Moderate,None,None,Normal,Caution,نیازمند احتیاط,yellow,21.92,Good,C2,S1,C2-S1,0.6503401360544218,Pass
AQ-02-09,0.492,None,None,None,Slight-Moderate,Normal,Suitable,مناسب,green,14.29,Excellent,C2,S1,C2-S1,0.6117886178861789,Pass
AQ-02-10,0.19,None,None,None,Severe,Normal,Suitable,مناسب,green,25.53,Good,C1,S1,C1-S1,0.7052631578947368,Pass
AQ-02-11,1.003,Slight-Moderate,Slight-Moderate,None,None,Normal,Caution,نیازمند احتیاط,yellow,13.83,Excellent,C3,S1,C3-S1,0.65,Pass
