sample_id,CO3_meq_L,HCO3_meq_L,Cl_meq_L,NO3_meq_L,SO4_meq_L,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,calc_sum_anions,calc_sum_cations,calc_SAR,source_SAR,SAR_difference,calc_Na_percent,source_Na_percent,calc_TH_mg_L,source_TH_mg_L,ionic_balance_percent,ionic_balance_QC,TDS_EC_factor
AQ-01-01,,2.6,0.4,,0.78,1.3,2.0,0.68,,3.7800000000000002,3.98,0.5293792820298356,0.529,0.00037928202983561476,,17.09,165.0,165.0,2.5773195876288626,Pass,0.6297297297297297
AQ-01-02,,2.6,0.3,,0.98,1.3,1.5,1.0,0.04,3.88,3.84,0.8451542547285166,0.845,0.00015425472851660071,27.083333333333336,27.08,140.0,140.0,-0.5181347150259072,Pass,0.6581196581196581
AQ-01-03,,3.1,0.4,,0.95,1.5,1.4,1.4,,4.45,4.3,1.1626367179523593,1.163,-0.0003632820476406895,,32.56,145.0,145.0,-1.7142857142857184,Pass,0.6436781609195402
AQ-01-04,,3.4,0.3,,0.65,2.1,1.6,0.5,0.04,4.35,4.24,0.3676073110469039,0.368,-0.00039268895309607643,12.735849056603772,12.74,185.0,185.0,-1.2805587892898653,Pass,0.632183908045977
AQ-01-05,0.4,2.4,0.6,,0.9,2.3,1.3,0.77,0.04,4.3,4.409999999999999,0.573924114224946,0.574,-7.58857750539077e-05,18.367346938775512,18.37,179.99999999999997,180.0,1.2629161882893163,Pass,0.6588785046728972
AQ-01-06,0.0,2.6,0.6,,0.32,2.4,0.4,0.95,0.02,3.52,3.77,0.8028965419920907,0.803,-0.00010345800790934057,25.72944297082228,25.73,140.0,140.0,3.429355281207133,Pass,0.6060606060606061
AQ-01-07,0.0,2.5,0.6,,0.3,2.2,0.7,0.6,0.02,3.4,3.5200000000000005,0.4982728791224398,0.498,0.0002728791224397842,17.61363636363636,17.61,145.00000000000003,145.0,1.7341040462427826,Pass,0.6386554621848739
AQ-01-08,0.0,2.85,0.6,,0.5,2.2,1.5,0.68,0.03,3.95,4.41,0.4999459430237893,0.5,-5.405697621069239e-05,16.099773242630388,16.1,185.0,185.0,5.502392344497608,Pass,0.7225130890052356
AQ-01-09,0.0,3.6,0.85,,0.75,2.6,1.3,0.71,0.02,5.2,4.63,0.5084415605679973,0.508,0.00044156056799726784,15.766738660907128,15.77,195.00000000000003,195.0,-5.798575788402851,Pass,0.6492985971943888
AQ-01-10,,3.0,0.7,,1.0,2.3,1.35,1.0,0.05,4.7,4.7,0.7402332101976052,0.74,0.0002332101976052492,22.340425531914892,22.34,182.5,182.5,0.0,Pass,0.875
AQ-01-11,0.0,5.0,0.55,,0.67,3.5,2.5,0.5,0.22,6.22,6.72,0.2886751345948129,0.289,-0.0003248654051870581,10.714285714285715,10.71,300.0,300.0,3.8639876352395675,Pass,0.7224137931034482
AQ-01-12,,3.2,0.35,,1.28,3.0,1.8,,0.02,4.83,4.819999999999999,,0.019,,,1.03,240.0,240.0,-0.10362694300518836,Pass,0.7383177570093458
AQ-01-13,,5.0,0.5,,0.4,2.5,3.0,0.32,0.04,5.9,5.86,0.19296726052976873,0.193,-3.273947023127444e-05,6.143344709897611,6.14,275.0,275.0,-0.340136054421769,Pass,0.6254416961130742
AQ-01-14,,3.9,0.65,,0.95,3.5,1.1,0.92,0.03,5.5,5.55,0.6066300355241241,0.607,-0.00036996447587589465,17.117117117117118,17.12,229.99999999999997,230.0,0.45248868778280377,Pass,0.662962962962963
AQ-01-15,0.4,3.2,0.35,,0.94,2.5,1.0,1.37,0.03,4.890000000000001,4.9,1.0356226560452826,1.036,-0.0003773439547174462,28.57142857142857,28.57,175.0,175.0,0.1021450459652685,Pass,0.6475409836065574
AQ-02-01,0.4,1.0,0.2,,0.55,1.0,0.6,0.7,,2.15,2.3,0.7826237921249264,0.783,-0.00037620787507364195,,30.44,80.0,80.0,3.370786516853931,Pass,0.4785714285714286
AQ-02-02,,3.1,0.7,,0.16,2.1,1.1,0.76,,3.96,3.96,0.6008327554319921,0.601,-0.0001672445680078738,,19.19,160.0,160.0,0.0,Pass,0.657608695652174
AQ-02-03,,2.1,0.5,,0.35,1.7,0.2,1.0,,2.95,2.9,1.0259783520851542,1.026,-2.1647914845823735e-05,,34.48,95.0,95.0,-0.8547008547008593,Pass,0.6470588235294118
AQ-02-04,,4.2,0.5,,0.44,1.9,1.4,1.8,,5.140000000000001,5.1,1.4012980994907414,1.401,0.0002980994907413326,,35.29,165.0,165.0,-0.390625000000009,Pass,0.6261682242990654
AQ-02-05,,5.5,1.0,,0.15,3.0,1.6,2.1,,6.65,6.699999999999999,1.384698994131153,1.385,-0.0003010058688470707,,31.34,229.99999999999997,230.0,0.37453183520598454,Pass,0.6666666666666666
AQ-02-06,0.0,2.5,0.2,,0.66,2.5,0.3,0.52,,3.3600000000000003,3.32,0.4394802124588286,0.44,-0.0005197875411713793,,15.66,140.0,140.0,-0.598802395209588,Pass,0.6470588235294118
AQ-02-07,0.0,2.8,0.5,,0.8,2.6,0.8,0.65,,4.1,4.050000000000001,0.4985272427507908,0.499,-0.00047275724920919915,,16.05,170.00000000000003,170.0,-0.6134969325153243,Pass,0.6
AQ-02-08,0.0,5.2,0.7,,1.38,3.7,2.0,1.6,,7.28,7.300000000000001,0.9477582044145477,0.948,-0.00024179558545223134,,21.92,285.0,285.0,0.13717421124828846,Pass,0.6503401360544218
AQ-02-09,0.0,3.5,0.82,,0.45,2.0,2.2,0.7,,4.7700000000000005,4.9,0.4830458915396479,0.483,4.5891539647902047e-05,,14.29,210.0,210.0,1.3443640124095126,Pass,0.6117886178861789
AQ-02-10,0.23,1.18,0.25,,0.24,0.82,0.58,0.42,0.06,1.9,1.88,0.5019960159204453,0.502,-3.984079554708586e-06,25.531914893617024,25.53,70.0,70.0,-0.5291005291005296,Pass,0.7052631578947368
AQ-02-11,0.0,7.4,1.65,,0.97,5.78,2.88,1.2,0.19,10.020000000000001,10.049999999999999,0.5766831975986553,0.577,-0.0003168024013446846,13.830845771144281,13.83,433.0,433.0,0.14947683109116883,Pass,0.65
AQ-02-12,0.0,4.2,0.8,,0.3,3.2,1.0,1.04,0.08,5.3,5.32,0.7176681817160484,0.718,-0.0003318182839515682,21.05263157894737,21.05,210.0,210.0,0.18832391713748078,Pass,0.65
AQ-02-13,0.0,4.0,0.9,,0.4,3.0,1.24,1.0,0.08,5.300000000000001,5.32,0.6868028197434451,0.687,-0.00019718025655490745,20.30075187969925,20.3,212.0,212.0,0.18832391713747243,Pass,0.65
AQ-02-14,0.5,2.75,0.5,,0.6,2.72,0.76,0.8,0.08,4.35,4.36,0.6064784348631227,0.607,-0.0005215651368772889,20.183486238532108,20.18,174.00000000000003,174.0,0.11481056257176434,Pass,0.65
AQ-02-15,0.4,2.25,0.5,,0.4,2.08,0.64,0.75,0.08,3.55,3.5500000000000003,0.6431196942844081,0.643,0.00011969428440805618,23.380281690140844,23.38,136.0,136.0,6.254777603522009e-15,Pass,0.65
AQ-03-01,0.3,2.9,0.6,,0.34,1.05,1.8,1.35,0.05,4.14,4.25,1.130905552387578,1.131,-9.444761242205502e-05,32.94117647058823,32.94,142.5,142.5,1.311084624553043,Pass,0.6639566395663956
AQ-03-02,,4.0,0.5,,0.2,3.6,0.6,0.35,,4.7,4.55,0.24152294576982394,0.242,-0.0004770542301760494,,7.69,210.0,210.0,-1.6216216216216255,Pass,0.6521739130434783
AQ-03-03,,4.6,0.6,,0.33,2.3,2.6,0.72,0.02,5.529999999999999,5.64,0.45999112679995674,0.46,-8.873200043280072e-06,13.120567375886525,13.12,245.00000000000003,245.0,0.9847806624888124,Pass,0.6542669584245077
AQ-03-04,,4.7,0.6,,1.5,4.0,1.4,0.67,0.09,6.8,6.16,0.40774901503162364,0.408,-0.0002509849683763332,12.337662337662337,12.34,270.0,270.0,-4.938271604938269,Pass,0.6185567010309279
AQ-03-05,0.9,2.6,0.7,,0.56,1.85,1.85,0.92,0.05,4.76,4.67,0.6763974523263032,0.676,0.0003974523263031715,20.770877944325484,20.77,185.0,185.0,-0.9544008483563081,Pass,0.6157894736842106
AQ-03-06,0.0,3.75,0.6,,0.39,1.95,2.05,0.87,0.05,4.739999999999999,4.92,0.6151828996322963,0.615,0.00018289963229634054,18.69918699186992,18.7,200.0,200.0,1.863354037267087,Pass,0.6847290640394089
AQ-03-07,0.0,2.9,0.5,,0.92,1.4,2.0,0.92,0.06,4.32,4.38,0.7056077897395808,0.706,-0.00039221026041913465,22.374429223744293,22.37,170.0,170.0,0.6896551724137887,Pass,0.6467236467236467
AQ-03-08,0.0,3.7,0.6,,0.45,1.8,2.1,0.82,0.06,4.75,4.78,0.5872141967123349,0.587,0.0002141967123349131,18.41004184100418,18.41,195.00000000000003,195.0,0.31479538300105186,Pass,0.6450777202072538
AQ-03-09,0.0,3.6,0.7,,0.95,2.1,1.9,1.18,0.06,5.25,5.239999999999999,0.834386001800126,0.834,0.0003860018001260457,23.664122137404583,23.66,200.0,200.0,-0.09532888465205602,Pass,0.6343115124153499
AQ-03-10,0.0,4.3,0.6,,1.23,2.8,2.5,0.82,0.04,6.129999999999999,6.16,0.5037219958038399,0.504,-0.00027800419616008654,13.96103896103896,13.96,265.0,265.0,0.2441008950366244,Pass,0.6879084967320261
AQ-03-11,0.0,4.2,0.9,,0.77,2.3,2.3,1.2,0.03,5.870000000000001,5.83,0.7912565680749445,0.791,0.0002565680749444521,21.09777015437393,21.1,229.99999999999997,230.0,-0.34188034188034977,Pass,0.631768953068592
AQ-03-12,0.0,4.3,0.5,,0.85,2.5,2.2,0.77,0.06,5.6499999999999995,5.53,0.5022926162511505,0.502,0.0002926162511505126,15.009041591320072,15.01,235.0,235.0,-1.073345259391764,Pass,0.631768953068592
AQ-03-13,0.8,1.3,0.8,,0.64,1.3,1.3,0.86,0.03,3.5400000000000005,3.4899999999999998,0.7542698966040451,0.754,0.0002698966040450834,25.50143266475645,25.5,130.0,130.0,-0.7112375533428266,Pass,0.6352941176470588
AQ-03-14,0.0,3.7,1.0,,0.85,2.7,1.9,0.94,0.02,5.55,5.559999999999999,0.6198176449920398,0.62,-0.00018235500796015547,17.266187050359715,17.27,229.99999999999997,230.0,0.0900090009000801,Pass,0.6352941176470588
AQ-03-15,0.0,3.9,1.0,,0.69,2.0,2.7,0.86,0.04,5.59,5.6000000000000005,0.5610021428259603,0.561,2.1428259602274125e-06,16.07142857142857,16.07,235.0,235.0,0.08936550491510879,Pass,0.6345454545454545
AQ-04-01,,3.9,0.45,,0.45,1.9,2.1,0.8,,4.8,4.8,0.565685424949238,0.566,-0.0003145750507619338,,16.67,200.0,200.0,0.0,Pass,0.6444444444444445
AQ-04-02,0.32,3.02,0.42,,0.99,2.58,1.4,0.67,,4.75,4.65,0.474950407355585,0.475,-4.9592644414953035e-05,,14.41,199.0,199.0,-1.0638297872340388,Pass,0.6628440366972477
AQ-04-03,0.2,4.1,0.58,,0.4,3.0,1.57,0.82,,5.28,5.390000000000001,0.5424637853576104,0.543,-0.0005362146423896208,,15.21,228.5,228.5,1.0309278350515492,Pass,0.6415094339622641
AQ-04-04,0.4,3.25,0.4,,0.3,2.7,1.18,0.5,,4.35,4.38,0.3589790793088691,0.359,-2.0920691130910107e-05,,11.42,194.0,194.0,0.34364261168385163,Pass,0.6388888888888888
AQ-04-05,0.2,4.6,0.8,,0.5,3.2,2.4,0.8,,6.1,6.3999999999999995,0.47809144373375745,0.478,9.144373375746806e-05,,12.5,280.0,280.0,2.3999999999999986,Pass,0.6111111111111112
AQ-04-06,0.0,4.1,0.5,,0.7,3.3,1.7,0.52,,5.3,5.52,0.3288768766575114,0.329,-0.0001231233424885958,,9.42,250.0,250.0,2.0332717190388148,Pass,0.6398305084745762
AQ-04-07,0.0,4.8,0.6,,0.53,3.6,1.6,0.77,,5.93,5.970000000000001,0.4775337281684525,0.478,-0.0004662718315474601,,12.9,260.0,260.0,0.33613445378152035,Pass,0.6407079646017699
AQ-04-08,0.3,4.4,0.8,,0.6,3.4,1.9,0.89,,6.1,6.1899999999999995,0.5467226539822165,0.547,-0.00027734601778350854,,14.38,265.0,265.0,0.7323026851098443,Pass,0.6401326699834162
AQ-04-09,0.0,4.45,2.1,,1.3,4.2,1.45,2.5,,7.8500000000000005,8.15,1.487410293271824,1.487,0.00041029327182395825,,30.68,282.5,282.5,1.874999999999999,Pass,0.6495726495726496
AQ-04-10,0.0,4.1,0.6,,0.7,3.5,1.3,0.67,,5.3999999999999995,5.47,0.4324831403264949,0.433,-0.0005168596735051212,,12.25,240.0,240.0,0.6439742410303615,Pass,0.6396917148362236
AQ-04-11,0.0,4.6,0.6,,0.55,4.1,1.1,0.64,,5.749999999999999,5.839999999999999,0.3969111506854671,0.397,-8.884931453290168e-05,,10.96,259.99999999999994,260.0,0.7765314926660903,Pass,0.6394052044609665
AQ-04-12,0.6,1.6,1.0,,0.7,1.5,0.8,1.61,0.1,3.9000000000000004,4.01,1.5013327412669053,1.501,0.00033274126690541195,42.64339152119702,42.64,114.99999999999999,115.0,1.3906447534766047,Pass,0.6399026763990268
AQ-04-13,,3.7,1.5,,0.7,4.4,0.8,0.79,0.01,5.9,6.0,0.48993720162737336,0.49,-6.27983726266268e-05,13.333333333333334,13.33,260.0,260.0,0.8403361344537785,Pass,0.6399317406143344
AQ-04-14,,4.3,1.9,,0.3,4.3,1.2,1.19,0.01,6.499999999999999,6.699999999999999,0.7175970000950774,0.72,-0.0024029999049225426,17.910447761194032,17.91,275.0,275.0,1.5151515151515165,Pass,0.6488439306358381
AQ-04-15,,4.4,0.8,,0.3,3.8,1.3,0.51,0.01,5.5,5.619999999999999,0.31937438845342625,0.319,0.00037438845342624427,9.252669039145909,9.25,254.99999999999997,2.55,1.079136690647475,Pass,0.6204933586337761
AQ-05-01,1.2,1.5,1.15,,1.65,2.45,1.85,1.4,,5.5,5.700000000000001,0.9547920752586628,0.955,-0.0002079247413371288,,24.56,215.00000000000003,215.0,1.7857142857142951,Pass,0.6730769230769231
AQ-05-02,,3.5,0.9,,1.4,2.9,1.6,1.12,0.06,5.800000000000001,5.68,0.7466666666666667,0.747,-0.0003333333333332966,20.774647887323948,20.78,225.0,225.0,-1.0452961672473955,Pass,0.6489563567362429
AQ-05-03,,4.1,0.6,,0.9,3.0,2.0,0.8,0.02,5.6,5.819999999999999,0.5059644256269407,0.506,-3.5574373059343856e-05,14.089347079037802,14.09,250.0,250.0,1.9264448336252171,Pass,0.6542056074766355
AQ-05-04,,3.7,1.5,,2.22,3.1,2.6,1.76,0.04,7.42,7.5,1.0425340248560024,1.043,-0.00046597514399748796,24.0,24.0,285.0,285.0,0.5361930294906171,Pass,0.6502732240437158
AQ-05-05,,3.5,1.1,,1.02,2.4,1.8,2.0,,5.619999999999999,6.2,1.3801311186847083,1.38,0.00013111868470838672,,32.26,210.0,210.0,4.906937394247048,Pass,0.646481178396072
AQ-05-06,0.1,3.9,1.0,,1.7,3.1,2.4,1.2,0.05,6.7,6.75,0.7236272269866326,0.724,-0.0003727730133673557,18.51851851851852,18.52,275.0,275.0,0.3717472118959095,Pass,0.65
AQ-05-07,0.0,4.4,1.2,,1.8,3.2,2.8,1.5,0.05,7.4,7.55,0.8660254037844387,0.866,2.5403784438715604e-05,20.52980132450331,20.53,300.0,300.0,1.0033444816053476,Pass,0.6545454545454545
AQ-05-08,0.0,4.4,1.1,,3.8,3.5,2.1,3.8,0.07,9.3,9.469999999999999,2.2709343577353476,2.271,-6.564226465233247e-05,40.86589229144667,40.87,280.0,280.0,0.9057005860415459,Pass,0.6525336091003102
AQ-05-09,0.0,3.9,0.4,,0.5,2.4,2.0,0.5,0.05,4.8,4.95,0.337099931231621,0.337,9.993123162099771e-05,11.111111111111112,11.11,220.00000000000003,220.0,1.538461538461542,Pass,0.6522593320235757
AQ-05-10,0.0,4.3,0.6,,1.2,3.9,1.8,0.5,0.06,6.1,6.26,0.29617443887954614,0.296,0.0001744388795461571,8.945686900958467,8.95,285.0,285.0,1.294498381877024,Pass,0.643312101910828
AQ-05-11,0.0,6.1,3.5,,0.6,5.0,2.0,3.3,0.11,10.2,10.41,1.763924196622001,1.764,-7.58033779990619e-05,32.756964457252636,32.76,350.0,350.0,1.0189228529839924,Pass,0.6502835538752363
AQ-05-12,0.0,2.5,0.8,,0.3,2.3,0.9,0.7,0.03,3.5999999999999996,3.9299999999999993,0.5533985905294664,0.553,0.0003985905294663361,18.575063613231556,18.58,160.0,160.0,4.382470119521908,Pass,0.6444444444444445
AQ-05-13,0.0,8.1,4.0,,0.9,6.8,3.8,2.57,0.01,13.0,13.18,1.1163366639010883,1.116,0.00033666390108821886,19.57511380880121,19.58,530.0,530.0,0.6875477463712747,Pass,0.6596385542168675
AQ-05-14,0.0,5.5,3.0,24.0,2.6,5.3,0.5,5.3,0.11,35.1,11.209999999999999,3.1122671634279286,3.112,0.00026716342792854064,48.26048171275647,48.26,290.0,290.0,-51.587130209457996,Review,0.6504424778761062
AQ-05-15,0.0,5.1,2.9,14.8,2.2,6.0,0.5,3.7,0.11,25.0,10.309999999999999,2.052390726033348,2.052,0.00039072603334799894,36.95441319107663,36.95,325.0,325.0,-41.6029453412631,Review,0.6615678776290631
AQ-06-01,0.3,2.7,1.6,,1.71,1.36,1.28,2.6,,6.31,5.24,2.2630095274240722,2.263,9.527424072341972e-06,,49.62,132.0,132.0,-9.264069264069258,Pass,0.6043956043956044
AQ-06-02,,3.7,1.2,,1.2,2.2,2.4,1.5,,6.1000000000000005,6.1,0.9890707100936805,0.989,7.071009368053716e-05,,24.59,229.99999999999997,230.0,-7.280150981148568e-15,Pass,0.6554621848739496
AQ-06-03,,4.0,0.7,,0.7,2.0,2.1,0.85,,5.4,4.949999999999999,0.5936657514041415,0.594,-0.00033424859585851063,,17.17,204.99999999999997,205.0,-4.347826086956532,Pass,0.5882352941176471
AQ-06-04,,2.9,0.3,,0.45,0.8,0.8,2.1,,3.65,3.7,2.3478713763747794,2.348,-0.00012862362522048087,,56.76,80.0,80.0,0.6802721088435411,Pass,0.6575342465753424
AQ-06-05,,3.7,0.7,,0.75,2.8,1.1,2.0,,5.15,5.9,1.4322297480788657,1.432,0.00022974807886577686,,33.9,195.0,195.0,6.787330316742081,Pass,0.62
AQ-06-06,0.0,3.5,0.3,,0.35,2.0,0.7,1.5,,4.1499999999999995,4.2,1.2909944487358056,1.291,-5.551264194325611e-06,,35.71,135.0,135.0,0.5988023952095893,Pass,0.5459057071960298
AQ-06-07,0.25,3.4,0.7,,1.0,2.3,1.7,1.5,,5.35,5.5,1.0606601717798212,1.061,-0.0003398282201787506,,27.27,200.0,200.0,1.3824884792626762,Pass,0.5649717514124294
AQ-06-08,0.0,3.1,0.5,,1.0,1.4,1.9,1.2,,4.6,4.5,0.9341987329938275,0.934,0.00019873299382744403,,26.67,165.0,165.0,-1.098901098901095,Pass,0.539647577092511
